TF_name	action	old_Identical_PWM	new_Identical_PWM	old_Homologous_PWM	old_Relatively_Homologous_PWM	old_ModCRE	old_AlphaFold	HOCOMOCO_TF_name	HOCOMOCO_family	HOCOMOCO_UniProt_ID
P19544	upgrade_to_identical_pwm		WT1_HUMAN.H11MO.0.C	M00249_2.00 (94.0%);M08968_2.00 (93.1%);MA1627.1 (96.2%)	M00134_2.00 (56.9%);M00224_2.00 (59.2%);M00617_2.00 (54.8%);M00632_2.00 (56.5%);M00645_2.00 (56.0%);M00777_2.00 (56.1%);M00779_2.00 (51.4%);M00950_2.00 (52.2%);M00952_2.00 (50.0%);M00959_2.00 (54.4%);M00960_2.00 (51.1%);M01033_2.00 (50.0%);M01035_2.00 (54.1%);M01036_2.00 (50.0%);M01039_2.00 (50.8%);M01042_2.00 (54.7%);M01180_2.00 (52.1%);M01192_2.00 (55.3%);M01442_2.00 (52.4%);M02903_2.00 (52.6%);M03682_2.00 (54.2%);M04430_2.00 (57.8%);M04463_2.00 (59.2%);M04555_2.00 (54.5%);M04611_2.00 (50.0%);M06072_2.00 (64.0%);M06169_2.00 (60.4%);M06466_2.00 (51.1%);M08246_2.00 (52.8%);M08525_2.00 (55.1%);M08528_2.00 (51.7%);M08867_2.00 (55.8%);M09008_2.00 (51.9%);M09515_2.00 (62.6%);MA0039.1 (59.2%);MA0039.3 (59.2%);MA0162.1 (61.0%);MA0162.2 (61.0%);MA0472.1 (62.6%);MA0472.2 (62.6%);MA0493.1 (51.9%);MA0516.1 (50.0%);MA0599.1 (56.3%);MA0732.1 (61.7%);MA0733.1 (57.9%);MA0740.1 (52.1%);MA0742.1 (57.8%);MA0747.1 (54.2%);MA0748.1 (50.0%);MA1511.1 (52.8%);MA1512.1 (54.5%);MA1513.1 (58.0%);MA1515.1 (58.0%);MA1516.1 (53.9%);MA1517.1 (55.4%);MA1564.1 (54.2%)			WT1	More than 3 adjacent zinc finger factors{2.3.3}	WT1_HUMAN
P19793	add_hocomoco_to_existing_identical_pwm	MA0065.1	MA0065.1;RXRA_HUMAN.H11MO.0.A					RXRA	RXR-related receptors (NR2){2.1.3}	RXRA_HUMAN
P19838	add_hocomoco_to_existing_identical_pwm	MA0105.1	MA0105.1;NFKB1_HUMAN.H11MO.1.B					NFKB1	NF-kappaB-related factors{6.1.1}	NFKB1_HUMAN
P20226	add_hocomoco_to_existing_identical_pwm	MA0108.2	MA0108.2;TBP_HUMAN.H11MO.0.A					TBP	TBP-related factors{8.1.1}	TBP_HUMAN
P20265	add_hocomoco_to_existing_identical_pwm	MA0787.1	MA0787.1;PO3F2_HUMAN.H11MO.0.A					POU3F2	POU domain factors{3.1.10}	PO3F2_HUMAN
P20393	add_hocomoco_to_existing_identical_pwm	MA1531.1	MA1531.1;NR1D1_HUMAN.H11MO.0.B					NR1D1	Thyroid hormone receptor-related factors (NR1){2.1.2}	NR1D1_HUMAN
P20823	upgrade_to_identical_pwm		HNF1A_HUMAN.H11MO.0.C	M00171_2.00 (94.7%);M00408_2.00 (82.3%);M09144_2.00 (95.3%);MA0046.1 (99.8%)	MA0153.1 (53.3%)			HNF1A	POU domain factors{3.1.10}	HNF1A_HUMAN
P22415	add_hocomoco_to_existing_identical_pwm	MA0093.1	MA0093.1;USF1_HUMAN.H11MO.0.A					USF1	bHLH-ZIP factors{1.2.6}	USF1_HUMAN
P22670	upgrade_to_identical_pwm		RFX1_HUMAN.H11MO.0.B	MA0509.1 (90.7%)	M02450_2.00 (53.0%);M02451_2.00 (62.5%);M02454_2.00 (59.0%);M03463_2.00 (59.9%);M03963_2.00 (54.5%);M09366_2.00 (57.7%);MA0600.1 (56.1%);MA0798.1 (60.0%)			RFX1	RFX-related factors{3.3.3}	RFX1_HUMAN
P22736	add_hocomoco_to_existing_identical_pwm	MA1112.1	MA1112.1;NR4A1_HUMAN.H11MO.0.A					NR4A1	NGFI-B-related receptors (NR4){2.1.4}	NR4A1_HUMAN
P23409	add_hocomoco_to_existing_identical_pwm	MA0667.1	MA0667.1;MYF6_HUMAN.H11MO.0.C					MYF6	MyoD / ASC-related factors{1.2.2}	MYF6_HUMAN
P23511	add_hocomoco_to_existing_identical_pwm	MA0060.1	MA0060.1;NFYA_HUMAN.H11MO.0.A					NFYA	Heteromeric CCAAT-binding factors{4.2.1}	NFYA_HUMAN
P23769	add_hocomoco_to_existing_identical_pwm	MA0036.1	MA0036.1;GATA2_HUMAN.H11MO.0.A					GATA2	GATA-type zinc fingers{2.2.1}	GATA2_HUMAN
P23771	add_hocomoco_to_existing_identical_pwm	MA0037.1	MA0037.1;GATA3_HUMAN.H11MO.0.A					GATA3	GATA-type zinc fingers{2.2.1}	GATA3_HUMAN
P24468	add_hocomoco_to_existing_identical_pwm	MA1111.1	MA1111.1;COT2_HUMAN.H11MO.0.A					NR2F2	RXR-related receptors (NR2){2.1.3}	COT2_HUMAN
P25208	add_hocomoco_to_existing_identical_pwm	MA0502.1	MA0502.1;NFYB_HUMAN.H11MO.0.A					NFYB	Heteromeric CCAAT-binding factors{4.2.1}	NFYB_HUMAN
P26367	add_hocomoco_to_existing_identical_pwm	MA0069.1	MA0069.1;PAX6_HUMAN.H11MO.0.C					PAX6	Paired plus homeo domain{3.2.1}	PAX6_HUMAN
P27540	add_hocomoco_to_existing_identical_pwm	MA0259.1	MA0259.1;ARNT_HUMAN.H11MO.0.B					ARNT	PAS domain factors{1.2.5}	ARNT_HUMAN
P28069	add_hocomoco_to_existing_identical_pwm	MA0784.1	MA0784.1;PIT1_HUMAN.H11MO.0.C					POU1F1	POU domain factors{3.1.10}	PIT1_HUMAN
P28324	add_hocomoco_to_existing_identical_pwm	MA0076.1	MA0076.1;ELK4_HUMAN.H11MO.0.A					ELK4	Ets-related factors{3.5.2}	ELK4_HUMAN
P28347	add_hocomoco_to_existing_identical_pwm	MA0090.1	MA0090.1;TEAD1_HUMAN.H11MO.0.A					TEAD1	TEF-1-related factors{3.6.1}	TEAD1_HUMAN
P28698	add_hocomoco_to_existing_identical_pwm	MA0056.1	MA0056.1;MZF1_HUMAN.H11MO.0.B					MZF1	More than 3 adjacent zinc finger factors{2.3.3}	MZF1_HUMAN
P28702	add_hocomoco_to_existing_identical_pwm	MA0855.1	MA0855.1;RXRB_HUMAN.H11MO.0.C					RXRB	RXR-related receptors (NR2){2.1.3}	RXRB_HUMAN
P31260	add_hocomoco_to_existing_identical_pwm	MA0899.1	MA0899.1;HXA10_HUMAN.H11MO.0.C					HOXA10	HOX-related factors{3.1.1}	HXA10_HUMAN
P31269	add_hocomoco_to_existing_identical_pwm	MA0594.2	MA0594.2;HXA9_HUMAN.H11MO.0.B					HOXA9	HOX-related factors{3.1.1}	HXA9_HUMAN
P31271	add_hocomoco_to_existing_identical_pwm	MA0650.1	MA0650.1;HXA13_HUMAN.H11MO.0.C					HOXA13	HOX-related factors{3.1.1}	HXA13_HUMAN
P31274	add_hocomoco_to_existing_identical_pwm	MA0485.2	MA0485.2;HXC9_HUMAN.H11MO.0.C					HOXC9	HOX-related factors{3.1.1}	HXC9_HUMAN
P32243	add_hocomoco_to_existing_identical_pwm	MA0712.1	MA0712.1;OTX2_HUMAN.H11MO.0.A					OTX2	Paired-related HD factors{3.1.3}	OTX2_HUMAN
P32519	add_hocomoco_to_existing_identical_pwm	MA0473.1	MA0473.1;ELF1_HUMAN.H11MO.0.A					ELF1	Ets-related factors{3.5.2}	ELF1_HUMAN
P35398	add_hocomoco_to_existing_identical_pwm	MA0071.1	MA0071.1;RORA_HUMAN.H11MO.0.C					RORA	Thyroid hormone receptor-related factors (NR1){2.1.2}	RORA_HUMAN
P35680	add_hocomoco_to_existing_identical_pwm	MA0153.1	MA0153.1;HNF1B_HUMAN.H11MO.0.A					HNF1B	POU domain factors{3.1.10}	HNF1B_HUMAN
P35711	add_hocomoco_to_existing_identical_pwm	M11309_2.00	M11309_2.00;SOX5_HUMAN.H11MO.0.C					SOX5	SOX-related factors{4.1.1}	SOX5_HUMAN
P35869	add_hocomoco_to_existing_identical_pwm	M08716_2.00	M08716_2.00;AHR_HUMAN.H11MO.0.B					AHR	PAS domain factors{1.2.5}	AHR_HUMAN
P36402	add_hocomoco_to_existing_identical_pwm	MA0769.2	MA0769.2;TCF7_HUMAN.H11MO.0.A					TCF7	TCF-7-related factors{4.1.3}	TCF7_HUMAN
P36508	upgrade_to_identical_pwm		ZNF76_HUMAN.H11MO.0.C		M00944_2.00 (52.7%);M00950_2.00 (58.2%);M00953_2.00 (56.0%);M00960_2.00 (58.2%);M04387_2.00 (50.0%);M06466_2.00 (50.6%);MA0088.1 (54.2%);MA0088.2 (56.8%)	TFS_sp_P36508_ZNF76_HUMAN:163:279_6b0q_D_1.meme;TFS_sp_P36508_ZNF76_HUMAN:163:279_2prt_A_1.meme;TFS_sp_P36508_ZNF76_HUMAN:195:354_1tf6_A_1.meme;TFS_sp_P36508_ZNF76_HUMAN:163:279_6b0o_A_1.meme;TFS_sp_P36508_ZNF76_HUMAN:163:279_6b0p_D_1.meme		ZNF76	More than 3 adjacent zinc finger factors{2.3.3}	ZNF76_HUMAN
P36956	add_hocomoco_to_existing_identical_pwm	MA0595.1	MA0595.1;SRBP1_HUMAN.H11MO.0.A					SREBF1	bHLH-ZIP factors{1.2.6}	SRBP1_HUMAN
P37231	add_hocomoco_to_existing_identical_pwm	MA0065.1	MA0065.1;PPARG_HUMAN.H11MO.0.A					PPARG	Thyroid hormone receptor-related factors (NR1){2.1.2}	PPARG_HUMAN
P37275	add_hocomoco_to_existing_identical_pwm	MA0103.2	MA0103.2;ZEB1_HUMAN.H11MO.0.A					ZEB1	HD-ZF factors{3.1.8}	ZEB1_HUMAN
P39880	add_hocomoco_to_existing_identical_pwm	MA0754.1	MA0754.1;CUX1_HUMAN.H11MO.0.C					CUX1	HD-CUT factors{3.1.9}	CUX1_HUMAN
P40424	add_hocomoco_to_existing_identical_pwm	MA0070.1	MA0070.1;PBX1_HUMAN.H11MO.0.A					PBX1	TALE-type homeo domain factors{3.1.4}	PBX1_HUMAN
P40425	add_hocomoco_to_existing_identical_pwm	MA1113.1	MA1113.1;PBX2_HUMAN.H11MO.0.C					PBX2	TALE-type homeo domain factors{3.1.4}	PBX2_HUMAN
P40426	add_hocomoco_to_existing_identical_pwm	MA1114.1	MA1114.1;PBX3_HUMAN.H11MO.0.A					PBX3	TALE-type homeo domain factors{3.1.4}	PBX3_HUMAN
P40763	add_hocomoco_to_existing_identical_pwm	MA0144.2	MA0144.2;STAT3_HUMAN.H11MO.0.A					STAT3	STAT factors{6.2.1}	STAT3_HUMAN
P41161	add_hocomoco_to_existing_identical_pwm	MA0765.1	MA0765.1;ETV5_HUMAN.H11MO.0.C					ETV5	Ets-related factors{3.5.2}	ETV5_HUMAN
P41225	add_hocomoco_to_existing_identical_pwm	M05769_2.00	M05769_2.00;SOX3_HUMAN.H11MO.0.B					SOX3	SOX-related factors{4.1.1}	SOX3_HUMAN
P41235	add_hocomoco_to_existing_identical_pwm	MA0114.1	MA0114.1;HNF4A_HUMAN.H11MO.0.A					HNF4A	RXR-related receptors (NR2){2.1.3}	HNF4A_HUMAN
P42224	add_hocomoco_to_existing_identical_pwm	MA0137.3	MA0137.3;STAT1_HUMAN.H11MO.0.A					STAT1	STAT factors{6.2.1}	STAT1_HUMAN
P42229	add_hocomoco_to_existing_identical_pwm	M11356_2.00	M11356_2.00;STA5A_HUMAN.H11MO.0.A					STAT5A	STAT factors{6.2.1}	STA5A_HUMAN
P43268	add_hocomoco_to_existing_identical_pwm	MA0764.1	MA0764.1;ETV4_HUMAN.H11MO.0.B					ETV4	Ets-related factors{3.5.2}	ETV4_HUMAN
P43354	add_hocomoco_to_existing_identical_pwm	MA0160.1	MA0160.1;NR4A2_HUMAN.H11MO.0.C					NR4A2	NGFI-B-related receptors (NR4){2.1.4}	NR4A2_HUMAN
P43694	add_hocomoco_to_existing_identical_pwm	MA0482.2	MA0482.2;GATA4_HUMAN.H11MO.0.A					GATA4	GATA-type zinc fingers{2.2.1}	GATA4_HUMAN
P43699	add_hocomoco_to_existing_identical_pwm	M09146_2.00	M09146_2.00;NKX21_HUMAN.H11MO.0.A					NKX2-1	NK-related factors{3.1.2}	NKX21_HUMAN
P47902	add_hocomoco_to_existing_identical_pwm	MA0878.1	MA0878.1;CDX1_HUMAN.H11MO.0.C					CDX1	HOX-related factors{3.1.1}	CDX1_HUMAN
P48378	add_hocomoco_to_existing_identical_pwm	MA0600.1	MA0600.1;RFX2_HUMAN.H11MO.0.A					RFX2	RFX-related factors{3.3.3}	RFX2_HUMAN
P48380	add_hocomoco_to_existing_identical_pwm	MA0798.1	MA0798.1;RFX3_HUMAN.H11MO.0.B					RFX3	RFX-related factors{3.3.3}	RFX3_HUMAN
P48382	add_hocomoco_to_existing_identical_pwm	MA0510.1	MA0510.1;RFX5_HUMAN.H11MO.0.A					RFX5	RFX-related factors{3.3.3}	RFX5_HUMAN
P48431	add_hocomoco_to_existing_identical_pwm	MA0143.4	MA0143.4;SOX2_HUMAN.H11MO.0.A					SOX2	SOX-related factors{4.1.1}	SOX2_HUMAN
P48443	add_hocomoco_to_existing_identical_pwm	MA0856.1	MA0856.1;RXRG_HUMAN.H11MO.0.B					RXRG	RXR-related receptors (NR2){2.1.3}	RXRG_HUMAN
P49116	add_hocomoco_to_existing_identical_pwm	MA0504.1	MA0504.1;NR2C2_HUMAN.H11MO.0.B					NR2C2	RXR-related receptors (NR2){2.1.3}	NR2C2_HUMAN
P49639	add_hocomoco_to_existing_identical_pwm	M04959_2.00	M04959_2.00;HXA1_HUMAN.H11MO.0.C					HOXA1	HOX-related factors{3.1.1}	HXA1_HUMAN
P49715	add_hocomoco_to_existing_identical_pwm	MA0102.3	MA0102.3;CEBPA_HUMAN.H11MO.0.A					CEBPA	C/EBP-related{1.1.8}	CEBPA_HUMAN
P49716	add_hocomoco_to_existing_identical_pwm	MA0836.1	MA0836.1;CEBPD_HUMAN.H11MO.0.C					CEBPD	C/EBP-related{1.1.8}	CEBPD_HUMAN
P50458	add_hocomoco_to_existing_identical_pwm	MA0700.1	MA0700.1;LHX2_HUMAN.H11MO.0.A					LHX2	HD-LIM factors{3.1.5}	LHX2_HUMAN
P50539	add_hocomoco_to_existing_identical_pwm	MA1108.1	MA1108.1;MXI1_HUMAN.H11MO.0.A					MXI1	bHLH-ZIP factors{1.2.6}	MXI1_HUMAN
P50549	add_hocomoco_to_existing_identical_pwm	MA0761.1	MA0761.1;ETV1_HUMAN.H11MO.0.A					ETV1	Ets-related factors{3.5.2}	ETV1_HUMAN
P50553	add_hocomoco_to_existing_identical_pwm	MA1100.1	MA1100.1;ASCL1_HUMAN.H11MO.0.A					ASCL1	MyoD / ASC-related factors{1.2.2}	ASCL1_HUMAN
P51449	add_hocomoco_to_existing_identical_pwm	MA1151.1	MA1151.1;RORG_HUMAN.H11MO.0.C					RORC	Thyroid hormone receptor-related factors (NR1){2.1.2}	RORG_HUMAN
P51608	add_hocomoco_to_existing_identical_pwm	M09257_2.00	M09257_2.00;MECP2_HUMAN.H11MO.0.C					MECP2		MECP2_HUMAN
P51692	add_hocomoco_to_existing_identical_pwm	M09417_2.00	M09417_2.00;STA5B_HUMAN.H11MO.0.A					STAT5B	STAT factors{6.2.1}	STA5B_HUMAN
P51814	upgrade_to_identical_pwm		ZNF41_HUMAN.H11MO.0.C	M08245_2.00 (94.8%)	M00142_2.00 (54.0%);M00217_2.00 (50.7%);M00609_2.00 (51.3%);M00782_2.00 (59.5%);M00786_2.00 (52.3%);M00939_2.00 (61.1%);M00943_2.00 (63.5%);M00944_2.00 (61.1%);M00945_2.00 (57.4%);M00948_2.00 (61.1%);M00950_2.00 (60.0%);M00952_2.00 (63.5%);M00953_2.00 (62.3%);M00955_2.00 (62.3%);M00958_2.00 (62.3%);M00959_2.00 (62.3%);M00960_2.00 (63.5%);M01457_2.00 (50.9%);M01474_2.00 (52.9%);M02924_2.00 (60.8%);M04387_2.00 (55.8%);M04465_2.00 (54.2%);M04505_2.00 (53.3%);M04536_2.00 (52.3%);M04590_2.00 (50.8%);M04598_2.00 (62.7%);M04613_2.00 (62.3%);M04621_2.00 (53.3%);M04650_2.00 (54.3%);M05853_2.00 (54.1%);M06179_2.00 (50.9%);M07562_2.00 (50.2%);M07565_2.00 (56.2%);M07566_2.00 (51.5%);M07578_2.00 (52.3%);M07581_2.00 (61.9%);M07582_2.00 (51.5%);M07586_2.00 (51.9%);M07590_2.00 (57.6%);M07607_2.00 (51.4%);M07610_2.00 (59.2%);M07613_2.00 (56.9%);M07618_2.00 (54.0%);M07620_2.00 (58.3%);M07645_2.00 (51.9%);M07648_2.00 (55.6%);M07649_2.00 (54.5%);M07657_2.00 (51.0%);M07660_2.00 (54.3%);M07667_2.00 (55.3%);M07683_2.00 (51.8%);M07684_2.00 (53.3%);M07687_2.00 (55.7%);M07699_2.00 (50.1%);M07707_2.00 (50.9%);M07712_2.00 (51.9%);M07714_2.00 (53.0%);M07715_2.00 (53.5%);M07723_2.00 (50.2%);M07740_2.00 (51.0%);M07753_2.00 (53.8%);M07754_2.00 (55.2%);M07761_2.00 (53.0%);M07764_2.00 (53.9%);M07767_2.00 (51.7%);M07775_2.00 (52.8%);M08247_2.00 (51.2%);M08252_2.00 (56.0%);M08254_2.00 (58.2%);M08255_2.00 (53.2%);M08256_2.00 (53.0%);M08267_2.00 (60.0%);M08274_2.00 (52.4%);M08292_2.00 (52.6%);M08309_2.00 (56.1%);M08311_2.00 (52.7%);M08312_2.00 (54.2%);M08314_2.00 (52.3%);M08325_2.00 (55.3%);M08329_2.00 (58.3%);M08330_2.00 (53.2%);M08334_2.00 (55.1%);M08347_2.00 (57.8%);M08355_2.00 (56.2%);M08365_2.00 (64.0%);M08366_2.00 (50.2%);M08371_2.00 (53.4%);M08373_2.00 (56.6%);M08375_2.00 (54.1%);M08381_2.00 (52.2%);M08395_2.00 (57.4%);M08859_2.00 (51.8%);M08860_2.00 (52.4%);M08887_2.00 (57.3%);M08901_2.00 (56.9%);M08908_2.00 (50.0%);M08934_2.00 (56.2%);M08944_2.00 (58.2%);M08949_2.00 (53.8%);M08985_2.00 (59.4%);MA1124.1 (59.3%);MA1154.1 (56.1%);MA1587.1 (57.5%);MA1596.1 (51.2%);MA1599.1 (53.5%);MA1601.1 (51.8%);MA1602.1 (53.8%);MA1656.1 (54.3%)			ZNF41	More than 3 adjacent zinc finger factors{2.3.3}	ZNF41_HUMAN
P52630	add_hocomoco_to_existing_identical_pwm	MA0517.1	MA0517.1;STAT2_HUMAN.H11MO.0.A					STAT2	STAT factors{6.2.1}	STAT2_HUMAN
P52737	add_hocomoco_to_existing_identical_pwm	MA1588.1	MA1588.1;ZN136_HUMAN.H11MO.0.C					ZNF136	More than 3 adjacent zinc finger factors{2.3.3}	ZN136_HUMAN
P52738	add_hocomoco_to_existing_identical_pwm	MA1589.1	MA1589.1;ZN140_HUMAN.H11MO.0.C					ZNF140	More than 3 adjacent zinc finger factors{2.3.3}	ZN140_HUMAN
P52741	add_hocomoco_to_existing_identical_pwm	M08392_2.00	M08392_2.00;ZN134_HUMAN.H11MO.0.C					ZNF134	Factors with multiple dispersed zinc fingers{2.3.4}	ZN134_HUMAN
P52747	add_hocomoco_to_existing_identical_pwm	MA0088.2	MA0088.2;ZN143_HUMAN.H11MO.0.A					ZNF143	More than 3 adjacent zinc finger factors{2.3.3}	ZN143_HUMAN
P52945	add_hocomoco_to_existing_identical_pwm	MA0132.2	MA0132.2;PDX1_HUMAN.H11MO.0.A					PDX1	HOX-related factors{3.1.1}	PDX1_HUMAN
P52952	add_hocomoco_to_existing_identical_pwm	MA0063.2	MA0063.2;NKX25_HUMAN.H11MO.0.B					NKX2-5	NK-related factors{3.1.2}	NKX25_HUMAN
P53539	add_hocomoco_to_existing_identical_pwm	MA1127.1	MA1127.1;FOSB_HUMAN.H11MO.0.A					FOSB	Fos-related factors{1.1.2}	FOSB_HUMAN
P53567	add_hocomoco_to_existing_identical_pwm	MA0838.1	MA0838.1;CEBPG_HUMAN.H11MO.0.B					CEBPG	C/EBP-related{1.1.8}	CEBPG_HUMAN
P55317	add_hocomoco_to_existing_identical_pwm	MA0148.1	MA0148.1;FOXA1_HUMAN.H11MO.0.A					FOXA1	Forkhead box (FOX) factors{3.3.1}	FOXA1_HUMAN
P55318	add_hocomoco_to_existing_identical_pwm	MA1683.1	MA1683.1;FOXA3_HUMAN.H11MO.0.B					FOXA3	Forkhead box (FOX) factors{3.3.1}	FOXA3_HUMAN
P55347	add_hocomoco_to_existing_identical_pwm	MA0782.1	MA0782.1;PKNX1_HUMAN.H11MO.0.B					PKNOX1	TALE-type homeo domain factors{3.1.4}	PKNX1_HUMAN
P56270	add_hocomoco_to_existing_identical_pwm	MA1522.1	MA1522.1;MAZ_HUMAN.H11MO.0.A					MAZ	Factors with multiple dispersed zinc fingers{2.3.4}	MAZ_HUMAN
P56693	add_hocomoco_to_existing_identical_pwm	MA0442.1	MA0442.1;SOX10_HUMAN.H11MO.0.B					SOX10	SOX-related factors{4.1.1}	SOX10_HUMAN
P57682	add_hocomoco_to_existing_identical_pwm	MA1516.1	MA1516.1;KLF3_HUMAN.H11MO.0.B					KLF3	Three-zinc finger Krüppel-related factors{2.3.1}	KLF3_HUMAN
P58317	upgrade_to_identical_pwm		ZN121_HUMAN.H11MO.0.C		M00134_2.00 (54.2%);M00224_2.00 (50.0%);M00609_2.00 (50.4%);M00782_2.00 (57.3%);M00939_2.00 (67.8%);M00943_2.00 (58.8%);M00944_2.00 (60.0%);M00945_2.00 (57.4%);M00948_2.00 (61.1%);M00950_2.00 (62.3%);M00952_2.00 (61.1%);M00953_2.00 (60.0%);M00955_2.00 (61.9%);M00958_2.00 (60.7%);M00959_2.00 (59.5%);M00960_2.00 (64.7%);M01039_2.00 (50.9%);M02903_2.00 (50.0%);M02924_2.00 (60.3%);M04387_2.00 (57.1%);M04463_2.00 (50.0%);M04505_2.00 (52.3%);M04598_2.00 (53.0%);M04611_2.00 (56.1%);M04613_2.00 (56.5%);M04621_2.00 (51.5%);M04650_2.00 (59.5%);M05853_2.00 (50.9%);M06108_2.00 (55.5%);M07567_2.00 (52.2%);M07578_2.00 (54.5%);M07601_2.00 (50.0%);M07635_2.00 (52.8%);M07649_2.00 (51.0%);M07678_2.00 (57.4%);M07686_2.00 (53.4%);M07689_2.00 (57.0%);M07699_2.00 (55.6%);M07700_2.00 (52.6%);M07707_2.00 (55.7%);M08252_2.00 (50.6%);M08254_2.00 (55.3%);M08255_2.00 (55.3%);M08256_2.00 (50.7%);M08267_2.00 (51.1%);M08309_2.00 (53.6%);M08325_2.00 (55.7%);M08329_2.00 (52.7%);M08334_2.00 (52.4%);M08335_2.00 (59.1%);M08342_2.00 (51.6%);M08347_2.00 (51.9%);M08355_2.00 (50.1%);M08367_2.00 (51.9%);M08371_2.00 (51.1%);M08392_2.00 (51.5%);M08395_2.00 (50.1%);M08908_2.00 (50.0%);M08917_2.00 (56.9%);M08934_2.00 (53.6%);M08985_2.00 (54.9%);MA0039.1 (50.0%);MA0039.3 (50.0%);MA1124.1 (57.8%);MA1154.1 (50.3%);MA1515.1 (50.0%);MA1587.1 (50.9%);MA1589.1 (51.5%);MA1602.1 (51.5%)	TFS_sp_P58317_ZN121_HUMAN:141:251_5ei9_E_1.meme;DIMER_sp_P58317_ZN121_HUMAN:310:358_1llm_D_1.meme		ZNF121	More than 3 adjacent zinc finger factors{2.3.3}	ZN121_HUMAN
P61244	add_hocomoco_to_existing_identical_pwm	MA0058.1	MA0058.1;MAX_HUMAN.H11MO.0.A					MAX	bHLH-ZIP factors{1.2.6}	MAX_HUMAN
P61371	add_hocomoco_to_existing_identical_pwm	MA1608.1	MA1608.1;ISL1_HUMAN.H11MO.0.A					ISL1	HD-LIM factors{3.1.5}	ISL1_HUMAN
P62508	add_hocomoco_to_existing_identical_pwm	MA0643.1	MA0643.1;ERR3_HUMAN.H11MO.0.B					ESRRG	Steroid hormone receptors (NR3){2.1.1}	ERR3_HUMAN
P78367	add_hocomoco_to_existing_identical_pwm	MA0122.2	MA0122.2;NKX32_HUMAN.H11MO.0.C					NKX3-2	NK-related factors{3.1.2}	NKX32_HUMAN
P78426	add_hocomoco_to_existing_identical_pwm	MA0674.1	MA0674.1;NKX61_HUMAN.H11MO.0.B					NKX6-1	NK-related factors{3.1.2}	NKX61_HUMAN
P78545	add_hocomoco_to_existing_identical_pwm	MA0640.1	MA0640.1;ELF3_HUMAN.H11MO.0.A					ELF3	Ets-related factors{3.5.2}	ELF3_HUMAN
P85037	add_hocomoco_to_existing_identical_pwm	MA0852.2	MA0852.2;FOXK1_HUMAN.H11MO.0.A					FOXK1	Forkhead box (FOX) factors{3.3.1}	FOXK1_HUMAN
P98177	add_hocomoco_to_existing_identical_pwm	MA0848.1	MA0848.1;FOXO4_HUMAN.H11MO.0.C					FOXO4	Forkhead box (FOX) factors{3.3.1}	FOXO4_HUMAN
Q00653	add_hocomoco_to_existing_identical_pwm	MA0778.1	MA0778.1;NFKB2_HUMAN.H11MO.0.B					NFKB2	NF-kappaB-related factors{6.1.1}	NFKB2_HUMAN
Q00978	add_hocomoco_to_existing_identical_pwm	MA0653.1	MA0653.1;IRF9_HUMAN.H11MO.0.C					IRF9	Interferon-regulatory factors{3.5.3}	IRF9_HUMAN
Q01094	add_hocomoco_to_existing_identical_pwm	MA0024.1	MA0024.1;E2F1_HUMAN.H11MO.0.A					E2F1	E2F-related factors{3.3.2}	E2F1_HUMAN
Q01101	add_hocomoco_to_existing_identical_pwm	MA0155.1	MA0155.1;INSM1_HUMAN.H11MO.0.C					INSM1	Factors with multiple dispersed zinc fingers{2.3.4}	INSM1_HUMAN
Q01196	add_hocomoco_to_existing_identical_pwm	MA0002.1	MA0002.1;RUNX1_HUMAN.H11MO.0.A					RUNX1	Runt-related factors{6.4.1}	RUNX1_HUMAN
Q01201	add_hocomoco_to_existing_identical_pwm	MA1117.1	MA1117.1;RELB_HUMAN.H11MO.0.C					RELB	NF-kappaB-related factors{6.1.1}	RELB_HUMAN
Q01543	add_hocomoco_to_existing_identical_pwm	MA0475.1	MA0475.1;FLI1_HUMAN.H11MO.0.A					FLI1	Ets-related factors{3.5.2}	FLI1_HUMAN
Q01664	add_hocomoco_to_existing_identical_pwm	MA0691.1	MA0691.1;TFAP4_HUMAN.H11MO.0.A					TFAP4	bHLH-ZIP factors{1.2.6}	TFAP4_HUMAN
Q01860	add_hocomoco_to_existing_identical_pwm	MA1115.1	MA1115.1;PO5F1_HUMAN.H11MO.0.A					POU5F1	POU domain factors{3.1.10}	PO5F1_HUMAN
Q01892	add_hocomoco_to_existing_identical_pwm	MA0081.1	MA0081.1;SPIB_HUMAN.H11MO.0.A					SPIB	Ets-related factors{3.5.2}	SPIB_HUMAN
Q02078	add_hocomoco_to_existing_identical_pwm	MA0052.1	MA0052.1;MEF2A_HUMAN.H11MO.0.A					MEF2A	Regulators of differentiation{5.1.1}	MEF2A_HUMAN
Q02080	add_hocomoco_to_existing_identical_pwm	MA0660.1	MA0660.1;MEF2B_HUMAN.H11MO.0.A					MEF2B	Regulators of differentiation{5.1.1}	MEF2B_HUMAN
Q02086	add_hocomoco_to_existing_identical_pwm	MA0516.1	MA0516.1;SP2_HUMAN.H11MO.0.A					SP2	Three-zinc finger Krüppel-related factors{2.3.1}	SP2_HUMAN
Q02446	add_hocomoco_to_existing_identical_pwm	MA0685.1	MA0685.1;SP4_HUMAN.H11MO.0.A					SP4	Three-zinc finger Krüppel-related factors{2.3.1}	SP4_HUMAN
