TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold
A8K7N7	Fork_head		M03012_2.00 (79.6%);MA0850.1 (94.7%)			
A8K7X9	zf-C2H2_4,zf-C2H2,zf-C2H2_jaz,XPA_N,zf-H2C2_2,zf-RING_3,zf-CHY,Chordopox_RPO7,Zn_Tnp_IS1595,zf-C2H2_6,zf-UBP,KRAB,WAC_Acf1_DNA_bd,LIM,zf-BED,zf-trcl,CxxC_CxxC_SSSS,FYDLN_acid,BHD_1,zf-LYAR,BolA		M07727_2.00 (99.8%);MA1596.1 (99.8%)	M00019_2.00 (52.0%);M00609_2.00 (51.3%);M00782_2.00 (52.2%);M00939_2.00 (64.7%);M00943_2.00 (59.3%);M00944_2.00 (54.1%);M00945_2.00 (59.3%);M00948_2.00 (58.1%);M00950_2.00 (60.4%);M00952_2.00 (57.6%);M00953_2.00 (58.1%);M00955_2.00 (60.4%);M00958_2.00 (56.9%);M00959_2.00 (60.4%);M00960_2.00 (59.3%);M01531_2.00 (50.9%);M02924_2.00 (58.2%);M04387_2.00 (55.8%);M04465_2.00 (53.5%);M04598_2.00 (54.5%);M04613_2.00 (55.2%);M04621_2.00 (50.1%);M04653_2.00 (60.9%);M06179_2.00 (53.7%);M07579_2.00 (50.2%);M07581_2.00 (50.9%);M07587_2.00 (50.4%);M07588_2.00 (50.7%);M07598_2.00 (53.5%);M07610_2.00 (50.4%);M07634_2.00 (51.0%);M07638_2.00 (52.2%);M07660_2.00 (50.1%);M07714_2.00 (52.5%);M07753_2.00 (61.7%);M07761_2.00 (51.0%);M07762_2.00 (54.7%);M07764_2.00 (52.1%);M08245_2.00 (51.2%);M08254_2.00 (52.2%);M08255_2.00 (55.0%);M08263_2.00 (50.4%);M08267_2.00 (52.1%);M08292_2.00 (50.0%);M08325_2.00 (51.0%);M08329_2.00 (53.7%);M08334_2.00 (54.5%);M08347_2.00 (63.3%);M08355_2.00 (53.5%);M08365_2.00 (56.1%);M08375_2.00 (51.9%);M08381_2.00 (53.5%);M08860_2.00 (58.4%);M08901_2.00 (50.3%);M08985_2.00 (55.4%);M10391_2.00 (50.0%);MA0747.1 (50.0%);MA1124.1 (51.5%);MA1154.1 (50.3%)		
A8K7Y5	zf-C2H2_4,C1_4,zf-C2H2,DUF3280,zf-C2H2_jaz,Ham1p_like,KRAB,zf-met,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-C2H2_6			M00134_2.00 (55.5%);M00142_2.00 (52.5%);M00149_2.00 (51.2%);M00217_2.00 (51.4%);M00645_2.00 (53.2%);M00764_2.00 (50.5%);M00774_2.00 (51.5%);M00782_2.00 (61.4%);M00786_2.00 (54.6%);M00939_2.00 (67.0%);M00943_2.00 (64.7%);M00944_2.00 (63.5%);M00945_2.00 (57.4%);M00948_2.00 (60.0%);M00950_2.00 (60.0%);M00952_2.00 (65.8%);M00953_2.00 (63.5%);M00955_2.00 (63.5%);M00958_2.00 (62.3%);M00959_2.00 (63.5%);M00960_2.00 (62.3%);M01044_2.00 (52.7%);M02924_2.00 (61.9%);M04387_2.00 (54.0%);M04465_2.00 (55.0%);M04505_2.00 (51.7%);M04515_2.00 (57.4%);M04536_2.00 (50.0%);M04598_2.00 (55.1%);M04613_2.00 (60.8%);M04621_2.00 (53.1%);M04650_2.00 (58.9%);M04653_2.00 (50.0%);M05853_2.00 (51.2%);M07562_2.00 (50.0%);M07566_2.00 (52.4%);M07578_2.00 (55.3%);M07579_2.00 (52.2%);M07581_2.00 (52.4%);M07582_2.00 (57.6%);M07586_2.00 (50.1%);M07590_2.00 (58.1%);M07593_2.00 (50.1%);M07595_2.00 (54.5%);M07598_2.00 (53.2%);M07600_2.00 (53.1%);M07605_2.00 (54.5%);M07607_2.00 (51.6%);M07613_2.00 (62.7%);M07618_2.00 (55.5%);M07620_2.00 (61.2%);M07633_2.00 (54.0%);M07634_2.00 (52.3%);M07635_2.00 (57.3%);M07646_2.00 (58.1%);M07648_2.00 (55.4%);M07649_2.00 (56.8%);M07657_2.00 (52.3%);M07658_2.00 (54.5%);M07667_2.00 (56.8%);M07678_2.00 (50.7%);M07684_2.00 (50.6%);M07685_2.00 (57.0%);M07686_2.00 (58.5%);M07687_2.00 (51.5%);M07689_2.00 (60.4%);M07699_2.00 (51.7%);M07700_2.00 (58.7%);M07701_2.00 (51.0%);M07707_2.00 (50.1%);M07714_2.00 (51.7%);M07715_2.00 (51.7%);M07720_2.00 (51.0%);M07723_2.00 (51.5%);M07725_2.00 (53.0%);M07729_2.00 (52.4%);M07740_2.00 (53.4%);M07747_2.00 (51.2%);M07753_2.00 (55.4%);M07754_2.00 (52.2%);M07761_2.00 (50.2%);M07762_2.00 (50.7%);M07764_2.00 (57.5%);M07767_2.00 (50.0%);M08245_2.00 (58.9%);M08252_2.00 (51.7%);M08254_2.00 (53.2%);M08255_2.00 (50.1%);M08256_2.00 (52.0%);M08267_2.00 (59.0%);M08274_2.00 (56.5%);M08292_2.00 (51.2%);M08309_2.00 (56.5%);M08314_2.00 (52.9%);M08325_2.00 (59.1%);M08329_2.00 (59.0%);M08330_2.00 (56.9%);M08334_2.00 (58.5%);M08342_2.00 (50.6%);M08347_2.00 (57.2%);M08355_2.00 (61.1%);M08366_2.00 (50.1%);M08371_2.00 (52.9%);M08373_2.00 (55.8%);M08375_2.00 (59.4%);M08381_2.00 (50.3%);M08390_2.00 (50.7%);M08395_2.00 (55.7%);M08540_2.00 (50.0%);M08859_2.00 (54.9%);M08860_2.00 (54.1%);M08887_2.00 (57.5%);M08901_2.00 (50.0%);M08934_2.00 (53.5%);M08944_2.00 (59.9%);M08949_2.00 (54.0%);MA0130.1 (53.0%);MA0528.1 (50.3%);MA1124.1 (55.9%);MA1587.1 (62.2%);MA1589.1 (53.1%);MA1597.1 (50.7%);MA1599.1 (52.1%);MA1600.1 (56.5%);MA1602.1 (55.8%)	TFS_tr_A8K7Y5_A8K7Y5_HUMAN:546:844_7w1m_H_1.meme;TFS_tr_A8K7Y5_A8K7Y5_HUMAN:891:1040_2i13_A_1.meme;TFS_tr_A8K7Y5_A8K7Y5_HUMAN:599:877_5wjq_D_1.meme;TFS_tr_A8K7Y5_A8K7Y5_HUMAN:573:849_5v3m_C_1.meme;TFS_tr_A8K7Y5_A8K7Y5_HUMAN:573:849_5v3j_E_1.meme;DIMER_tr_A8K7Y5_A8K7Y5_HUMAN:908:959_1llm_C_1.meme	
A8K811	Fork_head		M04827_2.00 (74.8%);MA0042.1 (99.7%)	M00044_2.00 (50.5%);M00164_2.00 (64.5%);M00664_2.00 (54.1%);M00665_2.00 (57.2%);M00791_2.00 (64.7%);M01011_2.00 (50.0%);M01016_2.00 (53.7%);M01227_2.00 (50.0%);M01974_2.00 (68.2%);M01982_2.00 (62.0%);M01983_2.00 (57.2%);M01987_2.00 (61.2%);M01990_2.00 (63.2%);M03034_2.00 (51.2%);M03046_2.00 (62.5%);M03058_2.00 (63.3%);M03735_2.00 (56.5%);M03741_2.00 (64.2%);M03743_2.00 (55.0%);M04835_2.00 (50.0%);M04848_2.00 (68.4%);M09093_2.00 (59.7%);M09104_2.00 (63.4%);M09669_2.00 (64.7%);M10528_2.00 (61.5%);M10565_2.00 (64.2%);M10570_2.00 (64.2%);M10571_2.00 (63.8%);MA0030.1 (59.1%);MA0031.1 (64.2%);MA0032.1 (59.4%);MA0033.1 (53.0%);MA0040.1 (57.0%);MA0041.1 (64.2%);MA0047.1 (58.3%);MA0047.2 (59.3%);MA0047.3 (59.3%);MA0148.1 (59.3%);MA0479.1 (51.8%);MA0613.1 (64.7%);MA0614.1 (61.5%);MA0845.1 (57.2%);MA0846.1 (65.7%);MA0847.1 (64.2%);MA0851.1 (62.5%);MA0852.1 (51.0%);MA0852.2 (50.0%);MA1103.1 (53.1%);MA1487.1 (62.1%);MA1489.1 (50.0%);MA1606.1 (59.1%);MA1607.1 (59.5%);MA1683.1 (58.3%)		
A8K823	GAS,DUF972,TSC22,FtsL,Herpes_BLRF2,HOOK,bZIP_Maf,IncA,DUF2630,bZIP_2,NDUF_B6,Shugoshin_N,UPF0242,CASP_C,bZIP_1	M02826_2.00				
A8K840	Hormone_recep,zf-C4	M09277_2.00				
A8K8A2	zf-C2H2_4,C1_4,zf-RING_3,zf-C2H2,SCAN,DNA_RNApol_7kD,zf-BED,zf-C2H2_jaz,zf-trcl,zf-met,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,HTH_18,Zn_Tnp_IS1595,Yippee,zf-C2H2_6			M00142_2.00 (51.7%);M00147_2.00 (53.1%);M00149_2.00 (55.5%);M00608_2.00 (53.5%);M00609_2.00 (51.4%);M00764_2.00 (58.6%);M00782_2.00 (58.5%);M00939_2.00 (67.8%);M00943_2.00 (58.8%);M00944_2.00 (63.0%);M00945_2.00 (50.5%);M00948_2.00 (59.5%);M00950_2.00 (59.5%);M00952_2.00 (63.5%);M00953_2.00 (64.2%);M00955_2.00 (59.5%);M00958_2.00 (63.5%);M00959_2.00 (64.2%);M00960_2.00 (64.7%);M01474_2.00 (54.9%);M03701_2.00 (51.8%);M04475_2.00 (53.1%);M04505_2.00 (52.8%);M04590_2.00 (52.8%);M04598_2.00 (57.4%);M04621_2.00 (56.6%);M04653_2.00 (59.3%);M05844_2.00 (51.4%);M05853_2.00 (55.6%);M05859_2.00 (56.6%);M06039_2.00 (51.5%);M06053_2.00 (56.6%);M07562_2.00 (50.2%);M07567_2.00 (54.0%);M07578_2.00 (51.0%);M07579_2.00 (58.5%);M07581_2.00 (56.5%);M07582_2.00 (52.0%);M07587_2.00 (52.4%);M07588_2.00 (56.6%);M07598_2.00 (54.2%);M07600_2.00 (54.5%);M07601_2.00 (53.5%);M07605_2.00 (57.5%);M07610_2.00 (56.5%);M07635_2.00 (59.5%);M07646_2.00 (57.5%);M07649_2.00 (56.0%);M07658_2.00 (51.2%);M07660_2.00 (57.2%);M07667_2.00 (53.5%);M07678_2.00 (57.1%);M07686_2.00 (54.8%);M07689_2.00 (60.6%);M07691_2.00 (50.7%);M07693_2.00 (53.3%);M07699_2.00 (53.0%);M07700_2.00 (60.6%);M07707_2.00 (60.1%);M07712_2.00 (55.0%);M07714_2.00 (56.5%);M07717_2.00 (51.0%);M07729_2.00 (50.5%);M07746_2.00 (55.3%);M07753_2.00 (57.3%);M07761_2.00 (54.0%);M07770_2.00 (51.5%);M07777_2.00 (56.0%);M08247_2.00 (55.5%);M08252_2.00 (60.1%);M08255_2.00 (56.0%);M08256_2.00 (56.5%);M08267_2.00 (59.5%);M08279_2.00 (58.0%);M08283_2.00 (51.8%);M08291_2.00 (54.0%);M08292_2.00 (55.8%);M08300_2.00 (55.0%);M08309_2.00 (57.0%);M08311_2.00 (57.0%);M08325_2.00 (54.7%);M08329_2.00 (58.1%);M08334_2.00 (57.3%);M08335_2.00 (56.0%);M08342_2.00 (57.1%);M08347_2.00 (56.5%);M08355_2.00 (58.5%);M08357_2.00 (57.5%);M08366_2.00 (52.5%);M08367_2.00 (51.7%);M08371_2.00 (58.0%);M08373_2.00 (57.0%);M08375_2.00 (59.5%);M08386_2.00 (52.2%);M08392_2.00 (54.0%);M08395_2.00 (56.5%);M08399_2.00 (55.0%);M08860_2.00 (55.5%);M08914_2.00 (52.3%);M08917_2.00 (54.3%);M08934_2.00 (59.0%);M08944_2.00 (58.5%);MA0095.1 (50.5%);MA0103.1 (51.4%);MA0103.2 (51.4%);MA0685.1 (56.6%);MA1154.1 (51.7%);MA1587.1 (63.6%);MA1588.1 (51.5%);MA1589.1 (56.6%);MA1594.1 (55.5%);MA1600.1 (51.5%)	DIMER_tr_A8K8A2_A8K8A2_HUMAN:386:437_1llm_D_1.meme;TFS_tr_A8K8A2_A8K8A2_HUMAN:274:468_5wjq_D_1.meme;TFS_tr_A8K8A2_A8K8A2_HUMAN:357:467_5ei9_E_1.meme;TFS_tr_A8K8A2_A8K8A2_HUMAN:314:466_2i13_A_1.meme;TFS_tr_A8K8A2_A8K8A2_HUMAN:274:469_5v3m_C_1.meme;TFS_tr_A8K8A2_A8K8A2_HUMAN:274:469_5v3j_E_1.meme	
A8K8K6	zf-C2H2_4,zf-C2H2,YhfH,zf-C2H2_jaz,XPA_N,zf-H2C2_2,Yippee,HypA,zinc_ribbon_5,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-C2H2_6,LIM,SCAN,DNA_RNApol_7kD,zf-trcl,zinc_ribbon_4,CxxC_CxxC_SSSS,CpXC,BolA			M00149_2.00 (55.4%);M00224_2.00 (52.7%);M00769_2.00 (50.0%);M00782_2.00 (57.5%);M00939_2.00 (67.4%);M00943_2.00 (60.2%);M00944_2.00 (60.0%);M00945_2.00 (50.5%);M00948_2.00 (58.8%);M00950_2.00 (57.8%);M00952_2.00 (60.2%);M00953_2.00 (57.8%);M00955_2.00 (60.0%);M00958_2.00 (56.4%);M00959_2.00 (58.8%);M00960_2.00 (60.0%);M01039_2.00 (52.7%);M01456_2.00 (52.8%);M01883_2.00 (50.0%);M04387_2.00 (59.0%);M04463_2.00 (51.2%);M04475_2.00 (57.1%);M04505_2.00 (52.5%);M04598_2.00 (54.2%);M04653_2.00 (66.6%);M05853_2.00 (50.8%);M07581_2.00 (52.9%);M07587_2.00 (52.1%);M07588_2.00 (52.3%);M07598_2.00 (51.0%);M07600_2.00 (50.5%);M07601_2.00 (51.5%);M07607_2.00 (53.8%);M07620_2.00 (51.8%);M07635_2.00 (53.7%);M07646_2.00 (50.0%);M07649_2.00 (51.2%);M07650_2.00 (50.4%);M07660_2.00 (54.4%);M07678_2.00 (55.3%);M07689_2.00 (56.9%);M07691_2.00 (50.4%);M07699_2.00 (52.0%);M07700_2.00 (53.7%);M07707_2.00 (53.2%);M07712_2.00 (53.2%);M07714_2.00 (50.5%);M07723_2.00 (54.1%);M07727_2.00 (50.2%);M07729_2.00 (50.0%);M07753_2.00 (55.3%);M07762_2.00 (51.0%);M07764_2.00 (54.8%);M08252_2.00 (53.7%);M08255_2.00 (53.2%);M08267_2.00 (51.0%);M08292_2.00 (50.0%);M08311_2.00 (50.0%);M08325_2.00 (60.2%);M08334_2.00 (56.4%);M08342_2.00 (50.7%);M08347_2.00 (55.3%);M08355_2.00 (58.0%);M08358_2.00 (50.3%);M08365_2.00 (55.3%);M08371_2.00 (52.2%);M08375_2.00 (53.5%);M08392_2.00 (51.1%);M08860_2.00 (52.6%);M08934_2.00 (50.9%);MA0039.1 (51.2%);MA0039.3 (51.2%);MA1515.1 (52.5%);MA1587.1 (54.8%);MA1596.1 (50.2%)	TFS_tr_A8K8K6_A8K8K6_HUMAN:287:478_5v3m_C_1.meme;TFS_tr_A8K8K6_A8K8K6_HUMAN:369:478_5ei9_E_1.meme;DIMER_tr_A8K8K6_A8K8K6_HUMAN:426:477_1llm_D_1.meme;TFS_tr_A8K8K6_A8K8K6_HUMAN:287:478_5v3j_E_1.meme;TFS_tr_A8K8K6_A8K8K6_HUMAN:327:478_2i13_A_1.meme;TFS_tr_A8K8K6_A8K8K6_HUMAN:297:478_5wjq_D_1.meme	
A8K8Q0	C1_3,zf-C2H2_jaz,Homez,Homeobox,Nucleo_P87,zf-H2C2_5,Homeobox_KN				TFS_tr_A8K8Q0_A8K8Q0_HUMAN:621:665_3d1n_L_1.meme;TFS_tr_A8K8Q0_A8K8Q0_HUMAN:626:666_1gt0_C_1.meme;TFS_tr_A8K8Q0_A8K8Q0_HUMAN:504:546_2lkx_A_1.meme;TFS_tr_A8K8Q0_A8K8Q0_HUMAN:622:666_1k61_B_1.meme;TFS_tr_A8K8Q0_A8K8Q0_HUMAN:626:666_1hf0_B_1.meme	
A8K8T4	zf-C2H2_4,C1_4,zf-C2H2,Prok-RING_1,C1_3,zf-C2H2_jaz,DUF2688,BHD_2,KRAB,zf-met,XPA_N,zf-H2C2_2,HTH_Tnp_ISL3,CxxC_CxxC_SSSS,Zn_Tnp_IS1595,zf-C2H2_6,BolA		M07723_2.00 (70.1%);M07754_2.00 (99.6%)	M00143_2.00 (50.6%);M00645_2.00 (52.0%);M00779_2.00 (51.3%);M00782_2.00 (55.0%);M00786_2.00 (51.0%);M00939_2.00 (61.1%);M00943_2.00 (62.3%);M00944_2.00 (65.8%);M00945_2.00 (56.3%);M00948_2.00 (62.3%);M00950_2.00 (60.0%);M00952_2.00 (64.7%);M00953_2.00 (64.7%);M00955_2.00 (63.5%);M00958_2.00 (62.3%);M00959_2.00 (65.8%);M00960_2.00 (62.3%);M01042_2.00 (51.1%);M01044_2.00 (51.1%);M01442_2.00 (50.8%);M01456_2.00 (52.8%);M01457_2.00 (51.7%);M01474_2.00 (50.8%);M01538_2.00 (53.4%);M02924_2.00 (60.3%);M04387_2.00 (53.7%);M04430_2.00 (55.1%);M04465_2.00 (52.4%);M04475_2.00 (57.3%);M04505_2.00 (52.3%);M04536_2.00 (50.5%);M04590_2.00 (50.0%);M04598_2.00 (53.5%);M04613_2.00 (53.3%);M04621_2.00 (55.8%);M04650_2.00 (61.2%);M07562_2.00 (50.0%);M07578_2.00 (52.2%);M07587_2.00 (51.8%);M07618_2.00 (68.1%);M07657_2.00 (59.9%);M07667_2.00 (58.7%);M07678_2.00 (52.9%);M07683_2.00 (55.7%);M07699_2.00 (50.6%);M07701_2.00 (68.9%);M07747_2.00 (65.0%);M07759_2.00 (60.5%);M07764_2.00 (50.2%);M08245_2.00 (55.2%);M08247_2.00 (53.5%);M08252_2.00 (58.7%);M08254_2.00 (53.2%);M08263_2.00 (56.0%);M08283_2.00 (52.0%);M08292_2.00 (50.3%);M08314_2.00 (53.8%);M08325_2.00 (60.1%);M08329_2.00 (53.3%);M08334_2.00 (51.4%);M08335_2.00 (54.0%);M08355_2.00 (54.2%);M08357_2.00 (53.2%);M08367_2.00 (50.0%);M08373_2.00 (52.6%);M08375_2.00 (52.4%);M08395_2.00 (51.3%);M08540_2.00 (53.4%);M08860_2.00 (50.9%);M08867_2.00 (51.3%);M08901_2.00 (55.3%);M08903_2.00 (52.4%);M08985_2.00 (59.3%);MA0599.1 (51.3%);MA0742.1 (55.1%);MA0753.1 (50.6%);MA1124.1 (64.2%);MA1154.1 (52.3%);MA1516.1 (52.6%);MA1597.1 (51.0%);MA1601.1 (55.7%);MA1602.1 (53.7%);MA1656.1 (54.2%)		
A8K8U0	zf-C2H2_4,C1_4,zf-C2H2,Prok-RING_2,C1_3,zf-C2H2_jaz,zf-trcl,zf-AN1,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,Zn_Tnp_IS1595,C1_1,zf-C2H2_6,A2L_zn_ribbon			M00939_2.00 (68.2%);M00943_2.00 (61.1%);M00944_2.00 (58.8%);M00945_2.00 (58.6%);M00948_2.00 (58.8%);M00950_2.00 (61.1%);M00952_2.00 (60.0%);M00953_2.00 (61.1%);M00955_2.00 (61.1%);M00958_2.00 (60.0%);M00959_2.00 (58.8%);M00960_2.00 (61.1%);M01474_2.00 (60.0%);M02924_2.00 (56.6%);M04387_2.00 (50.0%);M04598_2.00 (54.7%);M04611_2.00 (50.0%);M04621_2.00 (50.2%);M04650_2.00 (52.4%);M04653_2.00 (58.0%);M05855_2.00 (50.2%);M06179_2.00 (51.8%);M06466_2.00 (50.7%);M07627_2.00 (51.8%);M07628_2.00 (63.8%);M07648_2.00 (51.3%);M07659_2.00 (52.7%);M07686_2.00 (50.4%);M07700_2.00 (54.3%);M07714_2.00 (51.3%);M07717_2.00 (53.2%);M07731_2.00 (54.3%);M07733_2.00 (61.7%);M07761_2.00 (52.1%);M07762_2.00 (55.9%);M07770_2.00 (52.8%);M08247_2.00 (52.0%);M08254_2.00 (51.7%);M08255_2.00 (50.8%);M08309_2.00 (54.8%);M08335_2.00 (52.9%);M08342_2.00 (53.6%);M08366_2.00 (53.1%);M08367_2.00 (52.3%);M08371_2.00 (53.3%);M08386_2.00 (50.4%);M08540_2.00 (53.3%);M08860_2.00 (50.0%);M08887_2.00 (50.1%);M08908_2.00 (56.0%);M08917_2.00 (54.5%);M08934_2.00 (54.3%);M08985_2.00 (56.3%);MA1124.1 (51.6%);MA1588.1 (58.2%);MA1589.1 (50.2%);MA1594.1 (52.0%)	DIMER_tr_A8K8U0_A8K8U0_HUMAN:235:283_1llm_D_1.meme;TFS_tr_A8K8U0_A8K8U0_HUMAN:65:288_5wjq_D_1.meme;TFS_tr_A8K8U0_A8K8U0_HUMAN:68:292_5v3j_E_1.meme;TFS_tr_A8K8U0_A8K8U0_HUMAN:68:292_5v3m_C_1.meme;TFS_tr_A8K8U0_A8K8U0_HUMAN:143:287_2i13_A_1.meme	
A8K8V0	zf-C2H2_4,zf-C2H2,Zn_ribbon_recom,zf-CHCC,zf-C2H2_jaz,zf-met,zf-H2C2_2,Yippee,zf-DNA_Pol,zf-RING_3,TFIIS_C,zf-CHY,zf-AN1,RRN7,zf-C2H2_6,Prok-RING_1,KRAB,DUF1163,SprT-like,PhnA_Zn_Ribbon,zf-trcl,Plasmod_MYXSPDY,CxxC_CxxC_SSSS,zf-C2HC_2,CpXC,zf-LYAR	M07720_2.00				
A8K8Y5	zf-C2H2_4,zf-C2H2,zf-C2H2_jaz,KRAB,zf-met,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,zf-C2H2_6,BolA		M08399_2.00 (99.4%)	M00782_2.00 (54.6%);M00786_2.00 (50.0%);M00939_2.00 (54.1%);M00943_2.00 (60.0%);M00944_2.00 (61.1%);M00945_2.00 (56.3%);M00948_2.00 (61.1%);M00950_2.00 (61.1%);M00952_2.00 (58.8%);M00953_2.00 (61.9%);M00955_2.00 (64.7%);M00958_2.00 (61.1%);M00959_2.00 (61.9%);M00960_2.00 (61.1%);M01474_2.00 (50.9%);M02924_2.00 (60.1%);M04387_2.00 (54.9%);M04598_2.00 (52.1%);M04613_2.00 (53.1%);M04621_2.00 (50.3%);M04650_2.00 (54.5%);M04653_2.00 (58.0%);M06108_2.00 (50.0%);M06179_2.00 (50.0%);M07578_2.00 (53.3%);M07579_2.00 (53.9%);M07610_2.00 (52.9%);M07649_2.00 (50.5%);M07654_2.00 (62.3%);M07679_2.00 (63.2%);M07683_2.00 (53.5%);M07753_2.00 (51.8%);M08254_2.00 (54.1%);M08267_2.00 (54.0%);M08325_2.00 (54.4%);M08329_2.00 (50.5%);M08355_2.00 (52.0%);M08375_2.00 (52.8%);M08540_2.00 (50.0%);M08887_2.00 (51.0%);M08901_2.00 (56.4%);MA1124.1 (60.3%);MA1601.1 (53.5%);MA1602.1 (50.4%);MA1656.1 (51.2%)		
A8K962	HMG_box,DUF1898,DHC,Poxvirus_B22R_N				TFS_tr_A8K962_A8K962_HUMAN:196:374_7lbx_B_1.meme;TFS_tr_A8K962_A8K962_HUMAN:405:470_1hry_A_1.meme;TFS_tr_A8K962_A8K962_HUMAN:110:266_2gzk_A_1.meme;TFS_tr_A8K962_A8K962_HUMAN:407:469_6cij_N_1.meme;TFS_tr_A8K962_A8K962_HUMAN:408:470_6edb_B_1.meme;TFS_tr_A8K962_A8K962_HUMAN:405:486_1j47_A_1.meme;TFS_tr_A8K962_A8K962_HUMAN:196:374_6hc3_A_1.meme;TFS_tr_A8K962_A8K962_HUMAN:405:470_1hrz_A_1.meme	
A8K964	DUF1421,Pinin_SDK_N,Pinin_SDK_memA					
A8K9C6	TIG,RHD		M02446_2.00 (75.6%);M03449_2.00 (99.5%);MA0624.1 (82.5%)	M05693_2.00 (52.0%);M05703_2.00 (65.4%);MA0152.1 (50.9%);MA0625.1 (52.0%);MA1525.1 (50.3%)		
A8K9F2	zf-C2H2_4,Mem_trans,C1_4,zf-C2H2,zf-C2H2_jaz,zf-met,zf-H2C2_2,zf-C2H2_2,ADK_lid,zf-C2HC_2,RRN7,zf-C2H2_6,zf-FCS,BolA		M02938_2.00 (89.9%);MA1657.1 (99.3%)	M00958_2.00 (50.0%);M00959_2.00 (50.0%);M00960_2.00 (50.0%);M01529_2.00 (50.0%);M06179_2.00 (50.9%);M08320_2.00 (54.5%);M08908_2.00 (52.3%)		
A8K9W2	zf-C2H2_4,zf-C2H2,Zn_ribbon_recom,zf-C2H2_jaz,XPA_N,zf-H2C2_2,Yippee,C1_4,zf-RING_3,zf-CHY,HTH_Tnp_ISL3,Chordopox_RPO7,zf-C2H2_6,zf-UBP,KRAB,SANTA,LIM,DNA_RNApol_7kD,zf-trcl,CxxC_CxxC_SSSS,CpXC,BolA			M00134_2.00 (50.8%);M00142_2.00 (50.0%);M00782_2.00 (56.9%);M00786_2.00 (50.7%);M00939_2.00 (62.3%);M00943_2.00 (63.5%);M00944_2.00 (65.8%);M00945_2.00 (51.1%);M00948_2.00 (64.7%);M00950_2.00 (63.5%);M00952_2.00 (67.0%);M00953_2.00 (67.0%);M00955_2.00 (55.2%);M00958_2.00 (63.5%);M00959_2.00 (64.7%);M00960_2.00 (65.8%);M02924_2.00 (58.4%);M04387_2.00 (58.5%);M04465_2.00 (53.1%);M04505_2.00 (52.4%);M04598_2.00 (56.5%);M04613_2.00 (55.9%);M04621_2.00 (53.3%);M04650_2.00 (58.7%);M07566_2.00 (50.5%);M07578_2.00 (52.5%);M07581_2.00 (57.9%);M07587_2.00 (52.4%);M07593_2.00 (58.4%);M07610_2.00 (63.0%);M07613_2.00 (60.9%);M07620_2.00 (53.1%);M07646_2.00 (60.2%);M07649_2.00 (53.0%);M07684_2.00 (53.9%);M07691_2.00 (53.2%);M07712_2.00 (54.6%);M07725_2.00 (63.4%);M07753_2.00 (53.0%);M08234_2.00 (51.7%);M08254_2.00 (53.5%);M08267_2.00 (55.3%);M08300_2.00 (52.1%);M08309_2.00 (52.4%);M08311_2.00 (53.2%);M08325_2.00 (56.6%);M08329_2.00 (55.5%);M08334_2.00 (52.3%);M08355_2.00 (57.0%);M08357_2.00 (50.2%);M08373_2.00 (53.9%);M08375_2.00 (55.2%);M08390_2.00 (50.7%);M08392_2.00 (51.6%);M08395_2.00 (54.5%);M08859_2.00 (50.4%);M08887_2.00 (59.1%);M08901_2.00 (53.0%);M08903_2.00 (50.0%);M08908_2.00 (53.6%);M08917_2.00 (50.7%);MA1124.1 (56.1%);MA1154.1 (50.3%);MA1602.1 (51.4%);MA1656.1 (53.2%)	TFS_tr_A8K9W2_A8K9W2_HUMAN:286:564_5wjq_D_1.meme;TFS_tr_A8K9W2_A8K9W2_HUMAN:344:620_5v3m_C_1.meme;TFS_tr_A8K9W2_A8K9W2_HUMAN:344:620_5v3j_E_1.meme;TFS_tr_A8K9W2_A8K9W2_HUMAN:314:424_5ei9_E_1.meme;TFS_tr_A8K9W2_A8K9W2_HUMAN:270:423_2i13_A_1.meme	
A8K9W7	DUF605,Herpes_IE68,GTF2I					a8k9w7.af3.5.meme;a8k9w7.af3.4.meme;a8k9w7.af3.3.meme;a8k9w7.af3.0.meme;a8k9w7.af3.2.meme;a8k9w7.af3.1.meme
A8K9Y8	CP2		M09125_2.00 (99.5%);MA1105.1 (99.5%)	MA0647.1 (56.0%)		
A8KA13	zf-C2H2_4,C1_4,zf-C2H2,zf-CHCC,C1_3,zf-C2H2_jaz,SR-25,zf-met,zf-H2C2_2,CxxC_CxxC_SSSS,BTB,DUF678,RRN7,zf-C2H2_6	MA0731.1				
